sgeulachdan,207,
soitheach,207,
bàrd,206,
gnothach,205,
neach,205,
taighean,204,
bheurla,203,
ainmeachadh,203,
but,203,
mairead,203,
urras,202,
really,202,
dualchas,201,
èisteachd,201,
naoidheamh,200,
bhuineadh,200,
cùl,200,
seirbheis,200,
cruaidh,200,
sealladh,200,
ruadh,200,
dha-rìribh,200,
oirbh,199,
cruinneachadh,199,
aire,199,
naomh,198,
shon,197,
sgeul,197,
choimhead,197,
from,197,
tarsainn,196,
thìde,196,
ron,196,
chloinn,195,
ceòl,195,
an-còmhnaidh,194,
cluinntinn,194,
coltas,194,
uachdaran,194,
beathaichean,194,
toigh,193,
canar,193,
there,193,
dh’èirich,192,
teine,192,
àbhaist,192,
trang,192,
sna,192,
uairean,191,
gabh,191,
amas,191,
bhithinn,191,
ear,190,
àmhainn,190,
sweeny,190,
dh’fhàs,189,
mullach,189,
clach,188,
adhbhar,188,
cheist,188,
cù,187,
thogadh,187,
oighreachd,187,
beanntan,186,
innsidh,186,
dhèanadh,186,
èirigh,186,
thusa,186,
feuch,185,
bainne,185,
càite,185,
eòlas,184,
fhoillseachadh,184,
allt,184,
goirid,183,
bodach,183,
ghobhainn,183,
strì,183,
triùir,182,
a-màireach,182,
caisteal,182,
rithe,182,
feitheamh,181,
èirinn,181,
think,181,
eadhon,180,
tuigsinn,180,
treas,180,
mhuinntir,180,
muir,180,
foghlam,179,
oirnn,178,
breatainn,178,
bàrdachd,178,
àird,177,
iomairt,177,
fearann,177,
leth-cheud,177,
very,177,
pròiseact,177,
choreigin,176,
ministear,176,
obrach,176,
blàr,176,
chreid,176,
mhuir,176,
iasg,176,
ceathrad,176,
fuar,175,
mhìle,175,
uiread,174,
leòdhais,174,
teagamh,174,
obar,173,
here,173,
sabaid,173,
or,171,
fortanach,170,
uighean,170,
lùib,170,
up,170,
màiri-anna,170,
òga,169,
duais,169,
smachd,169,
lot,169,
toir,168,
mharbhadh,168,
about,168,
know,168,
dh’ionnsaigh,167,
ur,166,
astràilia,166,
dhuine,166,
stèidheachadh,166,
feumail,166,
fosgailte,166,
fuaim,165,
donnchadh,165,
dh’aois,164,
lus,164,
th’ann,164,
dheathain,163,
